No.,5+2,5+1,5,4+2,4+1,4,3+2,3+1,2+2,3,1+2,2+1,2
1974,42251861,109079.60,12746.80,2268.70,89.40,27.10,54.40,8.40,12.30,6.10,5.80,4,2.50
1973,0,0,37831.20,2618.50,119.50,36.60,51.90,10,11.40,7.50,5.20,4.30,2.80
1972,0,0,62486.50,1179.80,103.60,36,46.60,9.50,10,7.50,4.10,4.30,3.10
1971,0,79734.90,9317.60,1055.30,90.80,31,53.40,8.50,12,6.70,5.50,3.90,2.70
1970,0,79578,21698.40,1843.20,103.30,29.90,55.60,9.20,13.60,7.10,6,4.40,3
1969,0,0,15391.90,1438.20,111.70,35,50.60,10.50,11.40,7.80,5.60,4.90,3
1968,0,241033.20,14083.30,923.40,81.60,29.20,39.60,7,9.90,6.60,4.90,3.50,2.80
1967,0,372130.90,0,934.10,83.70,24.60,52.20,8.20,12.90,5.50,6.30,4.10,2.40
1966,0,0,20861.60,1709.90,111,33.40,49.90,9,11.40,7.10,5.30,4.10,2.80
1965,0,0,40243.90,1319.40,76.20,29.80,39.80,7.20,9.70,6.10,4.70,3.70,2.60
1964,0,0,77954.20,1533.20,81.60,26.20,54.50,7.70,13.50,6,6.40,3.90,2.60
1963,0,169119.70,15810.40,1025.90,97.10,28.80,55.30,9.20,13.10,6.90,6.30,4.40,2.80
1962,0,104828,14000,953.80,85.30,30.90,50.10,8.40,11.90,6.60,5.60,4.10,2.80
1961,0,104628,14671.90,846.20,87.50,32.40,31.80,8.20,7.40,7.40,3.40,3.90,3
1960,0,164357.70,12804.30,717.80,66.30,23.60,43.60,6.70,10.70,5.70,5.40,3.50,2.60
1959,0,0,10526.10,1092.80,112.60,39.50,42.50,9.10,9.60,7.70,4.10,4,2.90
1958,0,151502.50,8852.10,1378.60,112.40,26.20,60.30,9.50,14.10,6.10,6.60,4.70,2.70
1957,0,114868.90,16108,1140.20,113.20,38.30,49.50,9.10,11.60,8,5.20,4.10,3.20
1956,0,0,0,1570.20,121.30,36.70,37.90,8.70,8.50,7.60,3.60,4,3
1955,0,0,58409.30,1096.60,89.60,30.10,33.30,8.40,8.20,7.10,3.80,4,2.90
1954,0,0,7521.30,395.50,36.50,15.50,21.90,4.40,6.50,3.90,3.80,2.70,2.10
1953,0,102286.90,15937.40,827.30,85,29.70,33.70,6.40,8,6.30,3.80,3.20,2.70
1952,0,250668.20,14646.30,1479.50,92,30.20,48.80,8.20,11.10,6.20,5.30,3.80,2.50
1951,0,0,18114.40,731.30,64.20,26.50,27.80,5.80,6.80,5.60,3.60,3,2.40
1950,0,66250.60,12668.60,1033.40,80.70,22.50,47.50,7.90,11.60,5.90,5.50,3.90,2.50
1949,0,0,48653.50,1683.80,96.50,32.10,45.40,8.50,10.90,6.40,5.20,4,2.60
1948,0,108510.50,25360.70,806,87.40,32.40,32.60,7.90,7.50,6.80,3.40,3.70,2.80
1947,0,0,10099.30,1230.90,81.40,28.30,33.90,7.10,7.70,6.90,3.70,3.50,2.80
1946,0,0,0,1252.50,109.60,34.90,41.70,8.60,9.10,7.40,4,3.80,2.90
1945,0,0,156047.60,1201,122.90,38.40,39.50,9.20,8.50,8.30,3.40,4,3.20
1944,0,162942.20,8788.20,1423.40,83.60,25.30,46.50,8.10,11.40,6.20,5.50,3.90,2.60
1943,0,88927.10,0,602.10,56.80,23.20,31.30,6.20,8.20,5.50,4.10,3.30,2.50
1942,0,118584.10,27715,1278.80,120.90,36.80,54.70,10,12.30,7.80,5.60,4.40,2.80
1941,0,0,0,1382.80,117.90,38,52.60,9.50,12.30,8.30,5.50,4.20,3.20
1940,0,0,12024,1762.40,96.80,33,43.90,8,10.20,7.20,4.70,3.90,2.90
1939,41844862.30,104045.10,12158.50,1113.80,85.10,31.50,47.70,7.70,10.90,7,4.90,3.60,2.90
1938,0,216866.60,11696.60,1280,102.20,37.60,44.20,8.70,9.40,7.40,4.20,3.80,2.80
1937,0,0,0,887.30,91.30,28.10,45.40,7.70,11,5.70,5.10,3.80,2.50
1936,0,182160.10,42573.80,947.10,85.20,30.80,36.50,8,8.30,6.80,3.80,3.60,2.70
1935,0,75619.60,29455.90,834,82.10,30.30,39.90,7.30,9.20,6.80,4.30,3.40,2.70
1934,0,159626.80,37307.40,830,104,32.60,42.80,8.70,10.40,6.80,4.90,4.10,2.70
1933,0,125271,14638.90,651.30,87.90,28,29.30,6.80,6.90,6.10,3.30,3.20,2.50
1932,0,0,0,1100.50,103.80,39.80,47.50,8.80,9.80,8,4.30,3.80,3
1931,0,0,8991.60,869.10,57.70,20.90,30.60,6,8.40,5.10,4.50,3.10,2.30
1930,0,153423.70,35857.60,1675.30,93.60,32.20,49.60,8.60,11.80,6.80,5.60,4.10,2.70
1929,0,28468.40,4990.10,478.20,54.40,20.90,25.40,6.20,6.70,5.80,3.40,3.40,2.60
1928,0,287147.50,26844.40,774.20,88.80,25.90,41.10,8,10.30,6,5,3.90,2.60
1927,181073415.70,355164.90,16601.50,994.40,84.60,27.20,43.60,8,10.90,6.10,5.40,3.90,2.50
1926,0,159379.80,20694.20,773.40,78.80,26.50,32.50,7,8.10,6,3.90,3.60,2.60
1925,0,97585.80,27368.90,926.60,85.80,33.40,32,7.50,7,7,3.20,3.40,2.70
1924,0,48922.70,5163.70,656,57,18.80,35.80,6.90,9.40,5.40,4.60,3.60,2.40
1923,0,133518.40,0,971.90,92.70,30.50,42.90,8.90,10.50,7.10,4.90,4.10,2.80
1922,0,0,16930.80,799,68.70,25,26.90,6.40,6.80,5.70,3.40,3.20,2.50
1921,56220296,73960.70,21607.30,897.30,74.60,22.20,48.20,7.60,11.90,5.60,5.60,3.90,2.50
1920,46837974,182645.20,18294.50,725.20,87.70,30.80,34.30,7.60,8.10,6.70,4,3.70,2.80
1919,33739190,0,68063.80,617.80,80.50,28.80,28.70,7.10,6.80,6,3.20,3.50,2.60
1918,25335564,86733.10,7239.60,853.20,59,16.20,37.80,6.30,9.50,4.40,4.90,3.40,2.10
1917,14688000,336942.40,11249.80,1362.60,116.40,38.20,41.40,9.80,8.50,8.30,3.70,4.20,3.10
1916,107122901,199343.80,19967.10,870.60,93.90,31.70,44.80,8.60,10.40,7.30,4.80,4.10,3
1915,95340961,0,63720.60,1253.30,96.50,37.60,35.70,8.50,7.70,7.50,3.60,3.60,2.90
1914,86501911,270675.20,21087,656.80,70.20,21.30,33.20,6.30,8.80,5.10,4.40,3.30,2.40
1913,75830353,206403.30,32159.90,751.20,90,28,41.60,7.90,10.50,5.90,5.40,3.90,2.40
1912,67080148,177547.30,7780.40,745.60,69.40,23.50,35.20,6.70,8.80,5.60,4.50,3.40,2.50
