DrawDate,Match 6 Prize,Match 6 Winners,Match 6 Total,Match 5 Prize,Match 5 Winners,Match 5 Total,Match 4 Prize,Match 4 Winners,Match 4 Total,Match 4 plus Bonus Prize,Match 4 plus Bonus Winners,Match 4 plus Bonus Total,Match 3 plus Bonus Prize,Match 3 plus Bonus Winners,Match 3 plus Bonus Total,Match 5 plus Bonus Prize,Match 5 plus Bonus Winners,Match 5 plus Bonus Total,Match 3 Prize,Match 3 Winners,Match 3 Total,Match 2 plus Bonus Prize,Match 2 plus Bonus Winners,Match 2 plus Bonus Total
2026-08-26,2956270,0,0,1177,17,20009,41,788,32308,180,28,5040,25,858,21450,78319,0,0,8,12737,101896,3,7497,22491
2026-08-22,2669369,0,0,1797,15,26955,56,786,44016,212,32,6784,23,1250,28750,44942,0,0,9,14586,131274,3,11566,34698
2026-08-19,2283052,0,0,1795,11,19745,55,589,32395,248,20,4960,32,661,21152,38196,2,76392,9,10741,96669,3,6325,18975
2026-08-15,2000000,0,0,1737,15,26055,62,680,42160,219,30,6570,30,943,28290,43463,0,0,11,11663,128293,3,9275,27825
2026-08-12,3369310,1,3369310,632,33,20856,26,1290,33540,71,74,5254,14,1666,23324,191677,1,191677,6,15955,95730,3,11949,35847
2026-08-08,3070565,0,0,1372,20,27440,61,734,44774,288,24,6912,29,1034,29986,156923,0,0,11,12424,136664,3,10983,32949
2026-08-05,2677140,0,0,1109,18,19962,56,582,32592,228,22,5016,29,741,21489,111154,0,0,9,10528,94752,3,7323,21969
2026-08-01,2390891,0,0,2727,10,27270,60,741,44460,264,26,6864,26,1142,29692,77853,0,0,10,13606,136060,3,10978,32934
2026-07-29,2000000,0,0,2427,8,19416,57,554,31578,233,21,4893,28,753,21084,32379,0,0,9,10479,94311,3,6615,19845
2026-07-25,8221849,1,8221849,1322,24,31728,62,829,51398,190,42,7980,30,1135,34050,89430,3,268290,11,14511,159621,3,11194,33582
2026-07-22,7767134,0,0,1832,13,23816,54,716,38664,176,34,5984,27,961,25947,215391,0,0,10,12131,121310,3,9796,29388
2026-07-18,7425669,0,0,2157,14,30198,63,781,49203,185,41,7585,29,1144,33176,175666,0,0,11,13871,152581,3,12114,36342
2026-07-15,6992759,0,0,2105,11,23155,59,640,37760,253,23,5819,28,882,24696,125304,0,0,10,11585,115850,3,9194,27582
2026-07-11,6660874,0,0,1455,20,29100,58,819,47502,215,34,7310,28,1108,31024,86694,0,0,10,14638,146380,3,11155,33465
2026-07-08,6243856,0,0,2081,11,22891,56,664,37184,165,35,5775,28,895,25060,38181,0,0,10,11430,114300,3,9138,27414
2026-07-04,5915657,0,0,1620,18,29160,52,916,47632,150,49,7350,28,1133,31724,48618,1,48618,9,16135,145215,3,10787,32361
2026-07-01,5497742,0,0,1841,12,22092,61,590,35990,206,27,5562,26,910,23660,18421,2,36842,10,10768,107680,3,9089,27267
2026-06-27,5181046,0,0,2600,11,28600,61,758,46238,163,44,7172,29,1055,30595,130389,1,130389,11,13440,147840,3,10751,32253
2026-06-24,4771077,0,0,1639,13,21307,60,578,34680,206,26,5356,32,717,22944,82695,0,0,10,10725,107250,3,6895,20685
2026-06-20,4465633,0,0,1767,16,28272,53,861,45633,165,43,7095,30,1014,30420,47162,0,0,9,14800,133200,3,9688,29064
2026-06-17,4060235,0,0,1605,13,20865,64,532,34048,181,29,5249,30,766,22980,34793,1,34793,11,9687,106557,3,7925,23775
2026-06-13,3761162,0,0,1253,22,27566,50,893,44650,182,38,6916,23,1279,29417,22986,2,45972,9,15665,140985,3,12181,36543
2026-06-10,3365989,0,0,2081,10,20810,52,652,33904,181,29,5249,24,958,22992,34710,1,34710,9,11489,103401,3,9154,27462
2026-06-06,3067628,0,0,3041,9,27369,62,721,44702,215,32,6880,32,931,29792,389066,1,389066,11,12701,139711,3,9381,28143
2026-06-03,2675319,0,0,2170,9,19530,62,514,31868,307,16,4912,30,707,21210,343427,0,0,10,9231,92310,3,7409,22227
2026-05-30,2395387,0,0,3940,7,27580,48,935,44880,133,52,6916,22,1342,29524,310862,0,0,8,16195,129560,3,12725,38175
2026-05-27,2000000,0,0,2353,8,18824,74,416,30784,158,30,4740,30,687,20610,264865,0,0,11,8168,89848,3,7483,22449
2026-05-23,3731996,1,3731996,1512,18,27216,53,835,44255,180,38,6840,27,1089,29403,233466,0,0,9,14855,133695,3,9662,28986
