No.,5+PB Prize,5+PB Winners,5+PB Total,5 Prize,5 Winners,5 Total,4+PB Prize,4+PB Winners,4+PB Total,4 Prize,4 Winners,4 Total,3+PB Prize,3+PB Winners,3+PB Total,3 Prize,3 Winners,3 Total,2+PB Prize,2+PB Winners,2+PB Total,2 Prize,2 Winners,2 Total,1+PB Prize,1+PB Winners,1+PB Total,0+PB Prize,0+PB Winners,0+PB Total
16,0,0,0,0,0,0,0,0,0,2329.70,5,11648.50,488.90,27,13200.30,70.10,491,34419.10,41.10,409,16809.90,8,10732,85856,18.90,3362,63541.80,13.70,8640,118368
15,0,0,0,0,0,0,0,0,0,945.30,13,12288.90,605.50,23,13926.50,58.30,622,36262.60,38.10,465,17716.50,8,12968,103744,18.70,3589,67114.30,14.60,8576,125209.60
14,0,0,0,0,0,0,0,0,0,1980.20,9,17821.80,631.10,32,20195.20,75.80,694,52605.20,40.50,635,25717.50,8,16242,129936,19.80,4920,97416,14.80,12252,181329.60
13,0,0,0,0,0,0,20541.60,1,20541.60,1247.70,9,11229.30,643.60,20,12872,45.40,741,33641.40,36.40,451,16416.40,8,11258,90064,16.60,3740,62084,12.30,9410,115743
12,0,0,0,0,0,0,0,0,0,1420.40,9,12783.60,536.60,27,14488.20,63,599,37737,35.30,523,18461.90,8,13188,105504,19.60,3554,69658.40,15.90,8190,130221
11,0,0,0,0,0,0,34803.80,1,34803.80,576.50,33,19024.50,340.70,64,21804.80,39.60,1440,57024,24.70,1126,27812.20,8,25423,203384,14,7535,105490,11.80,16700,197060
10,0,0,0,0,0,0,33662.10,2,67324.20,1115.20,33,36801.60,620.40,68,42187.20,60,1840,110400,33.90,1588,53833.20,8,38982,311856,15.20,13458,204561.60,11.30,33670,380471
9,0,0,0,0,0,0,0,0,0,1754.40,18,31579.20,639.10,56,35789.60,73.30,1273,93310.90,39.10,1166,45590.60,8,28192,225536,17.20,9985,171742,11.90,27094,322418.60
8,0,0,0,0,0,0,0,0,0,1971.50,25,49287.50,581.80,96,55852.80,66.70,2183,145606.10,32.60,2182,71133.20,8,48364,386912,14.60,18359,268041.40,11.20,44944,503372.80
7,0,0,0,0,0,0,57880.50,1,57880.50,1757.80,18,31640.40,771.70,47,36269.90,70.30,1349,94834.70,39.30,1177,46256.10,8,31190,249520,19,9248,175712,13.80,23686,326866.80
6,0,0,0,0,0,0,23940.30,2,47880.60,1246.40,21,26174.40,612.30,49,30002.70,62.70,1251,78437.70,33.80,1131,38227.80,8,28628,229024,15.30,9474,144952.20,11.50,23547,270790.50
5,0,0,0,0,0,0,70195.50,1,70195.50,892.40,43,38373.20,403.50,109,43981.50,49.10,2342,114992.20,27.70,2025,56092.50,8,47341,378728,14.50,14697,213106.50,12.20,32653,398366.60
4,0,0,0,0,0,0,0,0,0,1317.40,24,31617.60,895.80,40,35832,71.80,1300,93340,42.90,1064,45645.60,8,28758,230064,19.50,8850,172575,14.10,22765,320986.50
3,0,0,0,0,0,0,0,0,0,1033.90,28,28949.20,886.70,37,32807.90,65.90,1298,85538.20,43,971,41753,8,27591,220728,19.90,7951,158224.90,15.10,19561,295371.10
2,0,0,0,0,0,0,42084.30,2,84168.60,958.50,48,46008,466.70,113,52737.10,48.30,2852,137751.60,29.30,2296,67272.80,8,58784,470272,14.70,17349,255030.30,12.20,38968,475409.60
1,0,0,0,0,0,0,70188,1,70188,1278.90,30,38367,543,81,43983,58.40,1969,114989.60,35.50,1581,56125.50,8,44703,357624,17.70,12023,212807.10,14.50,27310,395995
