No.,5+life Prize,5+life Winners,5+life Total,5 Prize,5 Winners,5 Total,4+life Prize,4+life Winners,4+life Total,4 Prize,4 Winners,4 Total,3+life Prize,3+life Winners,3+life Total,3 Prize,3 Winners,3 Total,2+life Prize,2+life Winners,2+life Total,2 Prize,2 Winners,2 Total
778,3600000,1,3600000,120000,0,0,250,22,5500,50,197,9850,30,1078,32340,20,9115,182300,10,14414,144140,5,123540,617700
777,3600000,0,0,120000,3,360000,250,31,7750,50,262,13100,30,1083,32490,20,9581,191620,10,14215,142150,5,127636,638180
776,3600000,0,0,120000,0,0,250,25,6250,50,266,13300,30,1210,36300,20,9531,190620,10,15719,157190,5,128984,644920
775,3600000,1,3600000,120000,1,120000,250,23,5750,50,227,11350,30,931,27930,20,9955,199100,10,13034,130340,5,130474,652370
774,3600000,0,0,120000,0,0,250,30,7500,50,242,12100,30,1218,36540,20,10411,208220,10,15384,153840,5,138386,691930
773,3600000,0,0,120000,2,240000,250,24,6000,50,200,10000,30,883,26490,20,8046,160920,10,12830,128300,5,113139,565695
772,3600000,0,0,120000,1,120000,250,26,6500,50,226,11300,30,1242,37260,20,9958,199160,10,14803,148030,5,135684,678420
771,3600000,0,0,120000,0,0,250,20,5000,50,197,9850,30,1016,30480,20,9351,187020,10,14411,144110,5,128038,640190
770,3600000,0,0,120000,0,0,250,20,5000,50,207,10350,30,1214,36420,20,9826,196520,10,15775,157750,5,131525,657625
769,3600000,0,0,120000,1,120000,250,21,5250,50,199,9950,30,859,25770,20,8614,172280,10,12354,123540,5,122624,613120
768,3600000,1,3600000,120000,2,240000,250,32,8000,50,384,19200,30,1273,38190,20,12513,250260,10,15677,156770,5,143956,719780
767,3600000,0,0,120000,0,0,250,20,5000,50,189,9450,30,986,29580,20,9142,182840,10,14235,142350,5,131262,656310
766,3600000,0,0,120000,3,360000,250,35,8750,50,246,12300,30,1002,30060,20,10482,209640,10,13778,137780,5,138258,691290
765,3600000,0,0,120000,1,120000,250,16,4000,50,180,9000,30,927,27810,20,7898,157960,10,13293,132930,5,116931,584655
764,3600000,1,3600000,120000,1,120000,250,30,7500,50,212,10600,30,958,28740,20,8801,176020,10,13716,137160,5,125283,626415
763,3600000,0,0,120000,1,120000,250,32,8000,50,217,10850,30,1470,44100,20,10680,213600,10,19017,190170,5,143736,718680
762,3600000,1,3600000,120000,2,240000,250,43,10750,50,301,15050,30,1249,37470,20,11301,226020,10,16239,162390,5,145122,725610
761,3600000,0,0,120000,0,0,250,30,7500,50,243,12150,30,1249,37470,20,10012,200240,10,16119,161190,5,134655,673275
760,3600000,1,3600000,120000,2,240000,250,33,8250,50,221,11050,30,1140,34200,20,9879,197580,10,15803,158030,5,133482,667410
759,3600000,0,0,120000,0,0,250,25,6250,50,226,11300,30,1087,32610,20,8821,176420,10,14715,147150,5,124521,622605
758,3600000,0,0,120000,1,120000,250,30,7500,50,341,17050,30,1688,50640,20,13176,263520,10,20147,201470,5,159200,796000
757,3600000,0,0,120000,1,120000,250,44,11000,50,354,17700,30,1214,36420,20,13043,260860,10,16127,161270,5,162643,813215
756,3600000,0,0,120000,3,360000,250,22,5500,50,234,11700,30,1063,31890,20,9975,199500,10,13564,135640,5,136220,681100
755,3600000,0,0,120000,3,360000,250,33,8250,50,225,11250,30,1146,34380,20,10539,210780,10,15631,156310,5,141080,705400
754,3600000,0,0,120000,1,120000,250,34,8500,50,273,13650,30,1282,38460,20,10841,216820,10,16526,165260,5,144587,722935
753,3600000,0,0,120000,2,240000,250,22,5500,50,253,12650,30,892,26760,20,9833,196660,10,12667,126670,5,141139,705695
752,3600000,0,0,120000,1,120000,250,65,16250,50,463,23150,30,1769,53070,20,14129,282580,10,20158,201580,5,163752,818760
